row,obsid,sourceName,beam,frequency,driftRate,snr,n_beams,n_beams_formed,beam_frac,n_obs_at_freq,n_obs_at_freq_drift,ra,dec
24573,MeerKAT:array_1:20250711T085603Z,ex_PGC0130374,38,870.2323522120714,-0.27677054196871154,23995.922,2,64,0.03125,1,1,4.6819722,-43.766111
24953,MeerKAT:array_1:20250711T085603Z,Gaia_4814652982993590784,55,870.2323569953442,-0.33827510685064743,18318.127,4,64,0.0625,1,1,4.6860639984509636,-43.79986824753711
23882,MeerKAT:array_1:20250711T085603Z,Gaia_4814702564095981056,5,870.2323569953442,-0.33827510685064743,14175.862,4,64,0.0625,1,1,4.6827703487443,-43.623679704088346
23808,MeerKAT:array_1:20250711T085603Z,Gaia_4814724245090845952,2,870.2323554009199,-0.31777358522333543,12673.435,1,64,0.015625,1,1,4.656040254433232,-43.35870343738148
24790,MeerKAT:array_1:20250711T085603Z,Gaia_4814711458972055680,47,870.2323522120714,-0.27677054196871154,11993.212,2,64,0.03125,1,1,4.691098498530638,-43.431628057840925
24484,MeerKAT:array_1:20250711T085603Z,ex_LEDA_545342,34,870.2323538064957,-0.2972720635960235,9960.706,1,64,0.015625,1,1,4.676444466666666,-43.728333
24765,MeerKAT:array_1:20250711T085603Z,Gaia_4790633601729009536,46,870.2323585897684,-0.3587766284779594,7478.353,1,64,0.015625,1,1,4.684110082617994,-43.84498903786491
23858,MeerKAT:array_1:20250711T085603Z,Gaia_4814722595823458688,4,870.2323569953442,-0.33827510685064743,7315.74,4,64,0.0625,1,1,4.6548437252129355,-43.39991835413826
24014,MeerKAT:array_1:20250711T085603Z,ex_CRTS_J044000.9-433336,11,870.2323569953442,-0.33827510685064743,7155.702,4,64,0.0625,1,1,4.666950399999999,-43.560016
26513,MeerKAT:array_1:20250711T092345Z,Gaia_4814652158359882752,36,870.2315039783716,-0.1845136946458077,3044.502,3,64,0.046875,1,1,4.694333093243185,-43.813957795250346
26762,MeerKAT:array_1:20250711T092345Z,Gaia_4814709745281296640,56,870.2315039783716,-0.1845136946458077,2552.1926,3,64,0.046875,1,1,4.682898546741639,-43.54561761412111
26175,MeerKAT:array_1:20250711T092345Z,Gaia_4790698709137405184,6,870.2315087616444,-0.2870213027823675,1929.4265,1,64,0.015625,1,1,4.655136963691296,-43.619094036869114
26554,MeerKAT:array_1:20250711T092345Z,Gaia_4790698610353975936,39,870.2314944118261,-0.09225684732290385,1813.4213,3,64,0.046875,1,1,4.65664484816173,-43.645994303366535
26213,MeerKAT:array_1:20250711T092345Z,Gaia_4790681945880898176,9,870.2314944118261,-0.09225684732290385,1769.4722,3,64,0.046875,1,1,4.673495953347414,-43.74114585530124
26156,MeerKAT:array_1:20250711T092345Z,Gaia_4790682873593840768,4,870.2315039783716,-0.1845136946458077,1663.4109,3,64,0.046875,1,1,4.66859444816198,-43.80858839010155
31685,MeerKAT:array_1:20250713T111016Z,Gaia_5096087136038857472,50,874.9910644441843,-0.1230091297638718,1437.4226,4,64,0.0625,1,1,4.158298953784137,-18.027572931997582
26713,MeerKAT:array_1:20250711T092345Z,Gaia_4814731288837203840,51,870.2314944118261,-0.09225684732290385,1378.0385,3,64,0.046875,1,1,4.659909378673284,-43.21085384208377
31649,MeerKAT:array_1:20250713T111016Z,Gaia_5096076523175408512,41,874.9910644441843,-0.1230091297638718,1314.7019,4,64,0.0625,1,1,4.174788139093451,-17.978428111477804
24420,MeerKAT:array_1:20250711T085603Z,ex_PGC0549578,31,870.1955656558275,-0.3587766284779594,811.5011,4,64,0.0625,1,1,4.6739999999999995,-43.373333
24974,MeerKAT:array_1:20250711T085603Z,Gaia_4814709745281296384,56,870.1955656558275,-0.3587766284779594,673.57056,4,64,0.0625,1,1,4.683283377197702,-43.54550178108382
23990,MeerKAT:array_1:20250711T085603Z,ex_GALEX_J044047.1-432429,10,870.1955656558275,-0.3587766284779594,658.5069,4,64,0.0625,1,1,4.679750333333334,-43.408327
24717,MeerKAT:array_1:20250711T085603Z,ex_2MFGC_3840,44,870.1955640614033,-0.3587766284779594,592.5041,4,64,0.0625,1,1,4.686498066666667,-43.42469799999999
31898,MeerKAT:array_1:20250713T113750Z,Gaia_5096257461558006144,10,874.9902831763029,-0.03075228244096795,560.53986,2,64,0.03125,1,1,4.141783766439086,-17.902314547975237
24575,MeerKAT:array_1:20250711T085603Z,ex_PGC0130374,38,870.265120819211,-0.26651978115505554,503.51453,2,64,0.03125,1,1,4.6819722,-43.766111
31891,MeerKAT:array_1:20250713T113750Z,Gaia_5096257014881405312,8,874.9902831763029,-0.03075228244096795,493.89886,2,64,0.03125,1,1,4.144187399707862,-17.899201191564124
24579,MeerKAT:array_1:20250711T085603Z,ex_PGC0130374,38,870.305936485529,-0.2460182595277436,482.78827,1,64,0.015625,1,1,4.6819722,-43.766111
24787,MeerKAT:array_1:20250711T085603Z,Gaia_4814711458972055680,47,870.1587711274624,-0.3587766284779594,416.11334,3,64,0.046875,1,1,4.691098498530638,-43.431628057840925
18720,MeerKAT:array_1:20250708T094824Z,Gaia_2973829828129917696,54,870.2684882432222,-0.3075228244096795,388.88132,2,64,0.03125,1,1,4.775259611085118,-22.033261483144322
24789,MeerKAT:array_1:20250711T085603Z,Gaia_4814711458972055680,47,870.1995804160833,-0.25626902034139953,375.9365,1,64,0.015625,1,1,4.691098498530638,-43.431628057840925
23955,MeerKAT:array_1:20250711T085603Z,ex_QSO_J0441-4313,8,870.2651192247868,-0.2460182595277436,366.43967,3,64,0.046875,1,1,4.6881496,-43.229302
26418,MeerKAT:array_1:20250711T092345Z,Gaia_4814724382529799808,27,870.2682889401913,-0.08200608650924786,361.68307,1,64,0.015625,1,1,4.65286861163457,-43.34829068784147
24042,MeerKAT:array_1:20250711T085603Z,ex_LEDA_549839,13,870.1587711274624,-0.3587766284779594,360.98483,3,64,0.046875,1,1,4.651305533333334,-43.351111
12169,MeerKAT:array_1:20250701T080259Z,Gaia_2536494783212986624,20,874.9966704398394,-0.16401217301849572,358.7259,2,64,0.03125,1,1,0.9747355367531642,0.20584854868681246
12200,MeerKAT:array_1:20250701T080259Z,Gaia_2536411941883805696,28,874.9966704398394,-0.16401217301849572,357.17947,2,64,0.03125,1,1,1.0004180335153812,-0.13381150732576272
18711,MeerKAT:array_1:20250708T094824Z,Gaia_2973830515324686976,24,870.2684882432222,-0.3485258676643034,338.3808,2,64,0.03125,1,1,4.772673567805199,-22.037277351998767
26414,MeerKAT:array_1:20250711T092345Z,Gaia_4814724382529799808,27,870.1947014778852,-0.08200608650924786,326.48813,3,64,0.046875,1,1,4.65286861163457,-43.34829068784147
24716,MeerKAT:array_1:20250711T085603Z,ex_2MFGC_3840,44,870.1587711274624,-0.3587766284779594,324.6219,3,64,0.046875,1,1,4.686498066666667,-43.42469799999999
24668,MeerKAT:array_1:20250711T085603Z,ex_6dFGS_gJ044108.0-431332,42,870.2651256024837,-0.33827510685064743,303.23807,2,64,0.03125,1,1,4.6855278,-43.225556000000005
18703,MeerKAT:array_1:20250708T094824Z,ex_LEDA_823286,14,870.2684882432222,-0.31777358522333543,291.83444,2,64,0.03125,1,1,4.794277800000001,-21.819444
23809,MeerKAT:array_1:20250711T085603Z,Gaia_4814724245090845952,2,870.2651224136353,-0.2870213027823675,268.27798,4,64,0.0625,1,1,4.656040254433232,-43.35870343738148
24791,MeerKAT:array_1:20250711T085603Z,Gaia_4814711458972055680,47,870.2651192247868,-0.2460182595277436,264.38412,3,64,0.046875,1,1,4.691098498530638,-43.431628057840925
18691,MeerKAT:array_1:20250708T094824Z,Gaia_2973935724843363072,2,870.2684882432222,-0.33827510685064743,242.93547,2,64,0.03125,1,1,4.800564911377169,-21.70371694179783
24720,MeerKAT:array_1:20250711T085603Z,ex_2MFGC_3840,44,870.265120819211,-0.26651978115505554,218.93536,2,64,0.03125,1,1,4.686498066666667,-43.42469799999999
24485,MeerKAT:array_1:20250711T085603Z,ex_LEDA_545342,34,870.2651192247868,-0.2460182595277436,207.62367,3,64,0.046875,1,1,4.676444466666666,-43.728333
18710,MeerKAT:array_1:20250708T094824Z,Gaia_2973830515324686976,24,870.1989251077175,-0.33827510685064743,207.46957,2,64,0.03125,1,1,4.772673567805199,-22.037277351998767
32239,MeerKAT:array_1:20250713T120523Z,Gaia_5096043812704503296,40,874.9907312095165,-0.1127583689502158,190.77339,3,64,0.046875,1,1,4.161690528194268,-18.286518169246502
24742,MeerKAT:array_1:20250711T085603Z,ex_LEDA_550620,45,870.2651224136353,-0.2870213027823675,185.25262,4,64,0.0625,1,1,4.6892222000000015,-43.287778
26164,MeerKAT:array_1:20250711T092345Z,Gaia_4814729429115402880,5,870.194699883461,-0.04100304325462393,185.20128,1,64,0.015625,1,1,4.671846170189647,-43.18346399276299
10392,MeerKAT:array_1:20250731T051744Z,ex_[VV2006]_J002336.0+001228,14,868.1869083940983,0.3075228244096795,183.32047,1,64,0.015625,1,1,0.3933198666666667,0.207775
26596,MeerKAT:array_1:20250711T092345Z,Gaia_4790681945880897920,42,870.2682857513428,-0.04100304325462393,179.55344,1,64,0.015625,1,1,4.67314631458982,-43.734208193265964
26432,MeerKAT:array_1:20250711T092345Z,Gaia_4790680846369268736,28,870.2682714015245,0.1230091297638718,175.76299,2,64,0.03125,1,1,4.67789310322079,-43.794137797103
24148,MeerKAT:array_1:20250711T085603Z,ex_LEDA_549179,18,870.2651256024837,-0.33827510685064743,170.07353,2,64,0.03125,1,1,4.657972200000001,-43.404167
26211,MeerKAT:array_1:20250711T092345Z,Gaia_4790681945880898176,9,870.1947014778852,-0.09225684732290385,166.87894,3,64,0.046875,1,1,4.673495953347414,-43.74114585530124
26428,MeerKAT:array_1:20250711T092345Z,Gaia_4790680846369268736,28,870.1946791559458,0.20501521627311964,156.58975,1,64,0.015625,1,1,4.67789310322079,-43.794137797103
10396,MeerKAT:array_1:20250731T051744Z,Gaia_2546799818506262144,62,868.1869594156742,-0.05125380406827991,155.00874,1,64,0.015625,1,1,0.38341681843698555,0.31478395011417104
10393,MeerKAT:array_1:20250731T051744Z,ex_[VV2006]_J002342.4+002041,16,868.1869657933712,0.03075228244096795,152.40086,1,64,0.015625,1,1,0.3951038666666667,0.344941
18724,MeerKAT:array_1:20250708T094824Z,Gaia_2973728088944479104,62,870.1989251077175,-0.31777358522333543,151.8446,2,64,0.03125,1,1,4.810215306177019,-21.96747213462873
12821,MeerKAT:array_1:20250701T141247Z,Gaia_3607208273017261824,59,879.9947966337204,-0.13325989057752777,150.21231,4,64,0.0625,1,1,13.641651778683753,-13.168077429886225
18715,MeerKAT:array_1:20250708T094824Z,Gaia_2973621333237785088,42,870.1989251077175,-0.31777358522333543,147.63582,2,64,0.03125,1,1,4.788129872674757,-22.335578348439178
12803,MeerKAT:array_1:20250701T141247Z,ex_2MASX_J13381185-1257006,41,879.9947966337204,-0.13325989057752777,146.3049,4,64,0.0625,1,1,13.636637400000001,-12.95021
12825,MeerKAT:array_1:20250701T141247Z,Gaia_3610209183846115712,63,879.9947966337204,-0.13325989057752777,144.23007,4,64,0.0625,1,1,13.61300373223758,-12.985653507909127
12768,MeerKAT:array_1:20250701T141247Z,ex_2MASX_J13380283-1242156,6,879.9947966337204,-0.13325989057752777,139.58498,4,64,0.0625,1,1,13.634129333333334,-12.704487
10390,MeerKAT:array_1:20250731T051744Z,ex_SN_2006pe,3,868.1749565899372,-0.0615045648819359,135.38292,1,64,0.015625,1,1,0.38586113333333333,-0.053333000000000005
19129,MeerKAT:array_1:20250708T094824Z,Gaia_2973934384813570304,55,874.993385925889,-0.26651978115505554,133.95923,1,64,0.015625,1,1,4.792219421597514,-21.769599028292912
