row,obsid,sourceName,beam,frequency,driftRate,snr,n_beams,n_beams_formed,beam_frac,n_obs_at_freq,ra,dec
831,MeerKAT:array_1:20250712T092209Z,Gaia_4669732505729685632,15,874.9882423132658,-0.07061635227185231,13967.203,2,64,0.03125,1,4.136337917868428,-65.56798775669675
833,MeerKAT:array_1:20250712T092209Z,Gaia_4668965390210943616,49,874.9882423132658,-0.07061635227185231,10838.745,2,64,0.03125,1,4.179309435646519,-65.79217371975943
15118,MeerKAT:array_1:20240319T020710Z,Gaia_2531007910952850560,60,1702.501206383109,0.01008805032455033,4187.117,2,64,0.03125,1,0.7429205526301578,-0.33685624636780465
15114,MeerKAT:array_1:20240319T020710Z,Gaia_2531019215306801792,7,1702.501206383109,0.01008805032455033,4015.185,2,64,0.03125,1,0.7459943739457774,-0.16875545891781413
564,MeerKAT:array_1:20250701T053744Z,Gaia_4669717868481145088,56,874.9971647113562,0.01008805032455033,832.1076,2,64,0.03125,1,4.173399753235815,-65.65151199756664
688,MeerKAT:array_1:20250706T014240Z,Gaia_6440687292989390080,46,874.9981691986322,0.02017610064910066,827.0408,1,64,0.015625,1,19.685649111840604,-63.79215898245333
563,MeerKAT:array_1:20250701T053744Z,Gaia_4669685776485351168,39,874.9971647113562,0.01008805032455033,770.12476,2,64,0.03125,1,4.127768567147217,-65.9857572103319
776,MeerKAT:array_1:20250709T043236Z,Gaia_4669716150494192000,20,874.9984418451786,0.10592452840777847,746.1891,1,64,0.015625,1,4.172600276731839,-65.74858448037378
686,MeerKAT:array_1:20250705T204042Z,Gaia_6440699735511788544,56,874.9970515072346,0.05548427678502682,665.1832,4,64,0.0625,2,19.627759531718347,-63.78503211456634
685,MeerKAT:array_1:20250705T204042Z,Gaia_6440637647464478464,17,874.9970515072346,0.05548427678502682,653.42035,4,64,0.0625,2,19.669536979901423,-63.964838362890205
683,MeerKAT:array_1:20250705T204042Z,Gaia_6440688018840915968,2,874.9970515072346,0.05548427678502682,643.63,4,64,0.0625,2,19.68423492425907,-63.79109433639011
684,MeerKAT:array_1:20250705T204042Z,Gaia_6440702308195109376,13,874.9970515072346,0.05548427678502682,616.6274,4,64,0.0625,2,19.65966056681656,-63.751392809486205
592,MeerKAT:array_1:20250701T085314Z,Gaia_4669816618369005440,24,874.9929793477058,-0.07061635227185231,562.9187,1,64,0.015625,1,4.154966178637322,-65.47424122454672
648,MeerKAT:array_1:20250702T203437Z,Gaia_6440696608775590528,17,874.994415923953,0.13618867938142945,546.40875,1,63,0.015873015873015872,1,19.632519687370717,-63.800738865833324
985,MeerKAT:array_1:20250731T120456Z,Gaia_5422856670357704704,21,874.9967676997185,-0.11096855357005364,437.22055,2,64,0.03125,1,9.384051119850259,-45.560099913131694
986,MeerKAT:array_1:20250731T120456Z,Gaia_5423607980388368896,30,874.9967676997185,-0.11096855357005364,435.55353,2,64,0.03125,1,9.357783853266904,-45.47326680192691
1017,MeerKAT:array_1:20250731T134912Z,ex_ASASSN-V_J160640.46-484323.8,42,874.9959401935339,-0.18662893100418113,372.29343,3,64,0.046875,1,16.111237999999997,-48.72328
1015,MeerKAT:array_1:20250731T134912Z,Gaia_5983581792059062400,12,874.9959401935339,-0.18662893100418113,365.6717,3,64,0.046875,1,16.07146267594976,-48.45377032217315
1016,MeerKAT:array_1:20250731T134912Z,ex_ASASSN-V_J160309.34-484321.8,40,874.9959401935339,-0.18662893100418113,363.56207,3,64,0.046875,1,16.052594,-48.72271
622,MeerKAT:array_1:20250701T095804Z,Gaia_4669812357761441792,58,874.9914120286703,-0.1160125787323288,325.6522,1,64,0.015625,1,4.176019349042368,-65.56923353654236
700,MeerKAT:array_1:20250706T120334Z,Gaia_3394261668473904128,38,874.9969781637192,-0.09583647808322814,308.21756,1,64,0.015625,1,5.352532371653601,17.004524049508735
866,MeerKAT:array_1:20250714T051258Z,Gaia_4669685158010059264,24,875.0000442415476,0.06557232710957715,302.8875,3,64,0.046875,1,4.117400147402994,-65.9913663997228
864,MeerKAT:array_1:20250714T051258Z,Gaia_4669719792626456192,7,875.0000442415476,0.06557232710957715,298.16458,3,64,0.046875,1,4.141665137563262,-65.67390013282862
1944,MeerKAT:array_1:20250701T085314Z,Gaia_4669717078207144576,16,919.9671576172113,0.04035220129820132,292.4985,2,64,0.03125,1,4.17227561858907,-65.6725713578207
15115,MeerKAT:array_1:20240319T020710Z,Gaia_2531000381874689920,10,1702.6632062643766,0.01008805032455033,290.9705,2,64,0.03125,1,0.7638577764774298,-0.28205409488982813
865,MeerKAT:array_1:20250714T051258Z,Gaia_4669730856462223872,22,875.0000442415476,0.06557232710957715,290.16306,3,64,0.046875,1,4.1024349345990405,-65.57500289036119
1020,MeerKAT:array_1:20250731T141132Z,Gaia_5835467581506731136,45,874.9957679957151,-0.03026415097365099,288.51846,2,64,0.03125,1,16.224743345404974,-56.336085817621985
1021,MeerKAT:array_1:20250731T141132Z,Gaia_5835464312935686912,46,874.9957679957151,-0.03026415097365099,286.42065,2,64,0.03125,1,16.233351258182054,-56.38663359579477
824,MeerKAT:array_1:20250712T092209Z,Gaia_4669686463680117760,36,869.9956168830395,-0.18662893100418113,279.1202,3,64,0.046875,1,4.120626951884693,-65.98777240002492
15113,MeerKAT:array_1:20240319T020710Z,Gaia_2531020383537905280,4,1702.6632062643766,0.01008805032455033,276.01355,2,64,0.03125,1,0.745221066782977,-0.11875607416656016
615,MeerKAT:array_1:20250701T095804Z,Gaia_4669684122921763584,1,874.9914152175188,-0.16645283035508046,275.9259,1,64,0.015625,1,4.123567914910958,-66.04452364149171
409,MeerKAT:array_1:20250719T103545Z,Gaia_4669776280036326272,7,863.9904379844666,0.035308176135926156,266.7915,1,64,0.015625,1,4.0913018046202625,-65.60364379504367
2471,MeerKAT:array_1:20250701T085314Z,Gaia_4669736285300904192,62,923.9670147895813,0.04035220129820132,260.9971,2,64,0.03125,1,4.119652601436114,-65.53565856273653
677,MeerKAT:array_1:20250705T141541Z,Gaia_4669829915587758720,28,874.996031075716,-0.09583647808322814,260.33633,2,64,0.03125,1,4.1440081251297345,-65.39631822133349
973,MeerKAT:array_1:20250727T085529Z,Gaia_2894204604797980032,12,874.9969925135374,-0.12105660389460396,255.7517,1,61,0.01639344262295082,1,6.631574567441434,-30.742520081304786
702,MeerKAT:array_1:20250706T155525Z,Gaia_6441013886599170048,36,874.9966417402029,0.04539622646047649,243.54733,3,64,0.046875,1,19.696452471666806,-63.91340481943159
675,MeerKAT:array_1:20250705T141541Z,Gaia_4669718693114807808,15,874.996031075716,-0.09583647808322814,242.9412,2,64,0.03125,1,4.150674010519596,-65.72275782362854
701,MeerKAT:array_1:20250706T155525Z,Gaia_6441084392782329344,17,874.9966417402029,0.04539622646047649,242.11319,3,64,0.046875,1,19.67669485894518,-63.51229140113957
1945,MeerKAT:array_1:20250701T085314Z,Gaia_4669702406598752640,57,919.9671576172113,0.04035220129820132,240.37773,2,64,0.03125,1,4.086659521575402,-65.84501600372867
617,MeerKAT:array_1:20250701T095804Z,Gaia_4669736250941165568,15,874.988835439086,-0.04539622646047649,239.45491,2,64,0.03125,1,4.118396769094823,-65.54868740802111
703,MeerKAT:array_1:20250706T155525Z,Gaia_6440638059781321472,38,874.9966417402029,0.04539622646047649,235.6971,3,64,0.046875,1,19.68522833013746,-63.95992120837882
823,MeerKAT:array_1:20250712T092209Z,Gaia_4669732505729686144,33,869.9943636655807,-0.16645283035508046,234.16566,1,64,0.015625,1,4.136333645197005,-65.57676109566584
15098,MeerKAT:array_1:20240319T020710Z,Gaia_2543037354139398912,26,1687.4974334537983,-0.005044025162275165,230.80109,3,64,0.046875,1,0.7354096646074186,0.04012672298767867
1931,MeerKAT:array_1:20250701T085314Z,Gaia_4668954807411442432,60,915.9673004448414,0.04035220129820132,219.66481,2,64,0.03125,1,4.167796744027646,-66.03186294155711
902,MeerKAT:array_1:20250718T162015Z,Gaia_5938651692502896384,19,874.9946327656507,0.015132075486825495,218.68619,1,64,0.015625,1,17.02566629094962,-48.982004284325846
2470,MeerKAT:array_1:20250701T085314Z,Gaia_4669703403031184768,36,923.9670147895813,0.04035220129820132,218.56808,2,64,0.03125,1,4.102001491747326,-65.82514083527903
1930,MeerKAT:array_1:20250701T085314Z,Gaia_4669717078207144576,16,915.9673004448414,0.04035220129820132,215.80377,2,64,0.03125,1,4.17227561858907,-65.6725713578207
619,MeerKAT:array_1:20250701T095804Z,Gaia_4669727214329905920,38,874.988835439086,-0.04539622646047649,211.4736,2,64,0.03125,1,4.109438969306825,-65.74064617130749
727,MeerKAT:array_1:20250708T083640Z,Gaia_4669680519445349888,44,879.9958696812391,-0.1311446542191543,208.27435,2,64,0.03125,1,4.13388869210737,-66.1171842689331
