row,obsid,sourceName,beam,frequency,driftRate,snr,n_beams,n_obs_at_freq,ra,dec
17894,MeerKAT:array_1:20250727T163815Z,ex_ASASSN-V_J193742.65-634909.7,21,2171.9577971380204,0.015811281682080274,77.38944,3,1,19.628514,-63.81936
16879,MeerKAT:array_1:20250703T213810Z,ex_ASASSN-V_J173718.57-444450.9,16,2098.1738241389394,-0.021081708909440364,73.92551,1,1,17.621824666666665,-44.74748
16874,MeerKAT:array_1:20250703T213810Z,ex_ASASSN-V_J173718.57-444450.9,16,2097.9828245472163,-0.021081708909440364,70.363205,1,1,17.621824666666665,-44.74748
16875,MeerKAT:array_1:20250703T213810Z,ex_ASASSN-V_J173718.57-444450.9,16,2098.005824489519,-0.021081708909440364,56.33531,1,1,17.621824666666665,-44.74748
21099,MeerKAT:array_1:20250724T180802Z,Gaia_5883175837640804352,9,2190.119974082336,-0.010540854454720182,49.836605,3,1,15.357728141842871,-57.22222239337716
16873,MeerKAT:array_1:20250703T213810Z,ex_ASASSN-V_J173718.57-444450.9,16,2097.922824556008,-0.021081708909440364,47.821037,1,1,17.621824666666665,-44.74748
20330,MeerKAT:array_1:20250720T164552Z,Gaia_6440709390598240896,19,2191.0422176588327,-0.005270427227360091,47.59423,4,1,19.655053814158247,-63.56563906534111
17895,MeerKAT:array_1:20250727T163815Z,Gaia_6440704060541711360,48,2171.9577971380204,0.015811281682080274,46.451523,3,1,19.667800719506214,-63.669433690393696
21135,MeerKAT:array_1:20250724T180802Z,Gaia_5883214904665310976,27,2190.119974082336,-0.010540854454720182,44.38786,3,1,15.34294504201932,-57.299540905097196
16876,MeerKAT:array_1:20250703T213810Z,ex_ASASSN-V_J173718.57-444450.9,16,2098.044824320823,-0.021081708909440364,44.040413,1,1,17.621824666666665,-44.74748
21191,MeerKAT:array_1:20250724T180802Z,Gaia_5883217069328868224,55,2190.119974082336,-0.010540854454720182,42.23857,3,1,15.348819223453154,-57.219322243639475
16877,MeerKAT:array_1:20250703T213810Z,ex_ASASSN-V_J173718.57-444450.9,16,2098.0518243741244,-0.021081708909440364,40.674984,1,1,17.621824666666665,-44.74748
17892,MeerKAT:array_1:20250727T163815Z,Gaia_6440687950121445632,14,2171.9577971380204,-0.015811281682080274,36.83193,1,1,19.678894608250324,-63.79734416553101
20392,MeerKAT:array_1:20250720T164552Z,Gaia_6441068071906599040,49,2190.8362188842148,-0.010540854454720182,36.599434,1,1,19.68305158076981,-63.6375180234808
17893,MeerKAT:array_1:20250727T163815Z,Gaia_6440701968894754944,16,2171.9577971380204,0.015811281682080274,35.13706,3,1,19.64568599099108,-63.77650370985313
20118,MeerKAT:array_1:20250720T164552Z,Gaia_6440690698900526336,22,2190.6383431050926,-0.005270427227360091,26.994736,4,1,19.668867914637147,-63.794436637211
20098,MeerKAT:array_1:20250720T164552Z,Gaia_6440706263862054016,17,2190.6383431050926,-0.005270427227360091,25.205992,4,1,19.648540291896435,-63.670993666798154
18064,MeerKAT:array_1:20250727T163815Z,Gaia_6440683891377314560,15,2183.3577970974147,0.015811281682080274,23.085451,2,1,19.645864272484435,-63.86122211199529
16872,MeerKAT:array_1:20250703T213810Z,ex_ASASSN-V_J173718.57-444450.9,16,2097.811824409291,-0.021081708909440364,20.99604,1,1,17.621824666666665,-44.74748
20200,MeerKAT:array_1:20250720T164552Z,Gaia_6441068174985814016,42,2190.6383431050926,-0.005270427227360091,20.427155,4,1,19.68412055588914,-63.62173691357908
18065,MeerKAT:array_1:20250727T163815Z,Gaia_6440701968894754944,16,2183.3577970974147,0.015811281682080274,20.423838,2,1,19.64568599099108,-63.77650370985313
20246,MeerKAT:array_1:20250720T164552Z,Gaia_6440682761800995072,53,2190.6383431050926,-0.005270427227360091,19.03491,4,1,19.64739031529793,-63.905134712219485
16123,MeerKAT:array_1:20250703T213810Z,ex_ASASSN-V_J173619.92-445345.2,25,2074.9975407961756,0.057974699500961,18.364208,4,1,17.605533333333334,-44.8959
16142,MeerKAT:array_1:20250703T213810Z,Gaia_5958264918356675712,44,2074.997545685619,0.026352136136800455,18.240465,2,1,17.597726868006006,-44.83280759393737
20229,MeerKAT:array_1:20250720T164552Z,Gaia_6441068071906599040,49,2190.6478807795793,-0.005270427227360091,17.758148,4,1,19.68305158076981,-63.6375180234808
