row,obsid,sourceName,beam,frequency,driftRate,snr,n_beams,n_beams_formed,beam_frac,n_obs_at_freq,n_obs_at_freq_drift,ra,dec
21325,MeerKAT:array_1:20250724T191130Z,Gaia_6103253191678904960,12,2190.1175456587225,-0.021421736472495855,71.40345,1,64,0.015625,1,1,14.475343584892101,-42.035828679908825
17379,MeerKAT:array_1:20250701T174407Z,ex_LEDA_942766,44,2295.646620215848,-0.2356391011974544,28.774841,1,55,0.01818181818181818,1,1,13.633888866666666,-13.111111
13409,MeerKAT:array_1:20250727T151713Z,Gaia_5922812952626636416,22,2024.004853097722,0.10710868236247928,23.121382,3,64,0.046875,1,1,17.4600604351036,-55.43716347199968
13398,MeerKAT:array_1:20250727T151713Z,Gaia_5922812372815440640,11,2024.004853097722,0.10710868236247928,20.44353,3,64,0.046875,1,1,17.462412866250517,-55.40834115639365
13394,MeerKAT:array_1:20250727T151713Z,Gaia_5922804641874277760,7,2024.004853097722,0.10710868236247928,20.107557,3,64,0.046875,1,1,17.451306935321394,-55.56619040840444
13862,MeerKAT:array_1:20250727T160434Z,ex_ASASSN-V_J172726.52-551952.2,25,2024.0052100270987,0.3427477835599337,16.861847,1,64,0.015625,1,1,17.457338,-55.33128
13144,MeerKAT:array_1:20250727T142952Z,Gaia_5922837214907621760,22,2024.00411805138,0.3748803882686775,16.647158,1,64,0.015625,1,1,17.45955211677733,-55.324356928069676
13479,MeerKAT:array_1:20250727T151713Z,Gaia_5922813094370205312,58,2029.9602735321969,0.03213260470874378,16.021608,4,64,0.0625,1,1,17.459299151233406,-55.40099705559793
13480,MeerKAT:array_1:20250727T151713Z,Gaia_5922825322133853312,60,2029.9602735321969,0.03213260470874378,15.995548,4,64,0.0625,1,1,17.448671264061897,-55.35886790688828
14144,MeerKAT:array_1:20250727T162815Z,Gaia_5922440119411596032,56,2032.0112907793373,0.28919344237869404,15.9896555,2,64,0.03125,1,1,17.43703675232664,-55.60937449498111
20165,MeerKAT:array_1:20250719T130249Z,ex_ASASSN-V_J060925.19-153332.5,21,2190.831345738843,0.021421736472495855,14.54959,1,64,0.015625,1,1,6.156997333333334,-15.559020000000002
21048,MeerKAT:array_1:20250724T183832Z,Gaia_6103244322566873728,7,2191.047560190782,-0.021421736472495855,13.786273,3,64,0.046875,1,1,14.461734593513631,-42.251980942016914
18638,MeerKAT:array_1:20250727T160434Z,Gaia_5922809074280503808,7,2106.5261997282505,0.03213260470874378,13.342639,1,64,0.015625,1,1,17.469339719140784,-55.45001435709921
20618,MeerKAT:array_1:20250724T183832Z,Gaia_6103293255133832320,6,2190.4477949719876,0.021421736472495855,12.172978,3,64,0.046875,1,1,14.461042294120624,-42.09919449659887
21223,MeerKAT:array_1:20250724T183832Z,ex_CRTS_J142845.8-420801,63,2191.047560190782,-0.021421736472495855,12.064059,3,64,0.046875,1,1,14.479424466666668,-42.13397899999999
18283,MeerKAT:array_1:20250711T154253Z,Gaia_4617531885530854784,55,2774.9796574935317,0.20350649648871064,12.03405,2,64,0.03125,1,1,0.8421386850494047,-84.33549722518372
14103,MeerKAT:array_1:20250727T162815Z,Gaia_5922825390852030720,19,2032.0112907793373,0.28919344237869404,12.006904,2,64,0.03125,1,1,17.44748905099187,-55.35170453832822
17037,MeerKAT:array_1:20250727T151713Z,Gaia_5922440119411596032,12,2064.0049488283694,0.10710868236247928,11.864062,3,64,0.046875,1,1,17.43703675232664,-55.60937449498111
13452,MeerKAT:array_1:20250727T151713Z,Gaia_5922802747784231296,1,2029.9602735321969,0.03213260470874378,11.818792,4,64,0.0625,1,1,17.45557065730982,-55.62324347097203
18251,MeerKAT:array_1:20250711T154253Z,Gaia_4617548893601336576,2,2774.9796705320477,0.03213260470874378,11.628096,3,64,0.046875,1,1,0.7659160444119009,-84.20441301691358
21101,MeerKAT:array_1:20250724T183832Z,Gaia_6103297378302467456,24,2191.047560190782,-0.021421736472495855,11.593929,3,64,0.046875,1,1,14.45769737187749,-42.01847512954063
