row,obsid,sourceName,beam,frequency,driftRate,snr,n_beams,n_obs_at_freq,ra,dec
40666,MeerKAT:array_1:20250713T194539Z,Gaia_6024354608113756288,43,574.9968022704124,0.0713009898037045,5299.0205,1,1,16.63201820358128,-32.720291477354394
79486,MeerKAT:array_1:20250710T060816Z,J0737-3039A,0,607.2236806154251,-0.0081486845489948,3913.8127,1,2,7.630902777777778,-30.661305555555554
182736,MeerKAT:array_1:20250710T060816Z,Gaia_5599127419588452736,23,607.2236796021461,-0.0020371711372487,3710.524,1,2,7.597950135958345,-30.94625176985143
85220,MeerKAT:array_1:20250714T160406Z,Gaia_6144908808170782208,24,615.2238686084747,0.06111513411746101,2289.4893,3,2,12.23145331132398,-43.693363576582215
85224,MeerKAT:array_1:20250714T160406Z,Gaia_6144710552480752768,46,615.2238696217537,-0.081486845489948,2163.9866,1,2,12.255038753770732,-43.95039301699271
85222,MeerKAT:array_1:20250714T160406Z,Gaia_6144679628716049280,30,615.2238686084747,-0.06722664752920711,2013.6979,3,2,12.228354594375299,-44.27250221549355
85226,MeerKAT:array_1:20250714T160406Z,Gaia_6144886886657444352,54,615.2238675951958,0.059077962980212305,2008.7285,2,2,12.209342372856923,-43.97080752568316
85225,MeerKAT:array_1:20250714T160406Z,Gaia_6144671378080801792,49,615.2238686084747,0.0631523052547097,1874.0707,3,2,12.210380606009217,-44.47805945874878
85218,MeerKAT:array_1:20250714T160406Z,Gaia_6143878187818930176,5,615.2238696217537,-0.0651894763919584,1517.9991,1,2,12.259639777047282,-44.699311826133204
85219,MeerKAT:array_1:20250714T160406Z,Gaia_6143887426290855680,22,615.2238686084747,0.06111513411746101,1510.049,3,2,12.272827461057881,-44.521761076364776
85221,MeerKAT:array_1:20250714T160406Z,Gaia_6144627264474732928,25,615.2238686084747,-0.06926381866645581,1490.9379,3,2,12.232318320924218,-44.428347999091436
85217,MeerKAT:array_1:20250714T160406Z,Gaia_6144617952985480448,3,615.2238686084747,-0.06926381866645581,1469.4583,3,2,12.20475607741889,-44.64878810021664
85227,MeerKAT:array_1:20250714T160406Z,Gaia_6144722097352828672,59,615.2238675951958,0.059077962980212305,1305.8105,2,2,12.247775212389039,-43.96345860036627
85223,MeerKAT:array_1:20250714T160406Z,Gaia_6143880146324043008,40,615.2238686084747,0.055003620705714906,1073.5933,1,2,12.26434459916487,-44.625409149324604
3394,MeerKAT:array_1:20250705T194745Z,ex_LEDA_965835,37,551.9865745902061,-0.038706251607725305,1051.8914,1,2,19.948833333333333,-11.434167
93735,MeerKAT:array_1:20250707T173400Z,Gaia_6144647468001000832,43,624.9967840909958,0.07944967435269931,1048.6898,1,2,12.27114860507026,-44.254954368983405
111855,MeerKAT:array_1:20250705T174237Z,Gaia_6120544966231155968,32,647.9930183887482,-0.014260197960740902,653.3208,2,1,14.125234494538562,-37.532224624368986
111821,MeerKAT:array_1:20250705T174237Z,Gaia_6120585751241043712,9,647.9930183887482,-0.014260197960740902,646.5835,2,1,14.118634280042723,-37.314089711605426
111977,MeerKAT:array_1:20250705T180344Z,Gaia_5820295420476639104,44,647.24994546175,-0.0162973690979896,549.6925,1,1,15.536749560187888,-68.53271774889923
99147,MeerKAT:array_1:20250718T015317Z,Gaia_4669693747944615808,45,624.9952682256699,0.055003620705714906,535.8542,1,1,4.073121305822081,-66.01638624206225
233875,MeerKAT:array_1:20250729T055516Z,Gaia_4668960442408616192,52,647.9676387906075,0.0040743422744974,523.7033,3,1,4.205938260555769,-65.88435725659457
18972,MeerKAT:array_1:20250728T151003Z,ex_V1736_Cen,23,551.987779378891,0.038706251607725305,518.95844,3,1,13.454344466666667,-47.409667000000006
