family,n,band,band_frac,documented_frac,explained,median_freq_mhz,freq_iqr_mhz,freq_p5_p95_mhz,freq_span_mhz,median_abs_drift,median_snr,median_n_beams,n_obs
27,28365,GSM uplink,0.422915564956813,0.5100299665080205,True,887.9656598716974,39.97123213112354,66.69146263599396,152.13084480166435,0.03075228244096795,9.148992,53.0,143
1,26592,GSM downlink,0.9010980746089049,0.9531814079422383,True,929.9763997793198,6.0225999765098095,46.687811240553856,79.13190042972565,0.0,6.8706823,27.0,98
16,26098,GSM uplink,0.40796229596137634,0.4786190512682964,False,887.9667265415192,39.96432189643383,61.04488091170788,175.78758044540882,0.03075228244096795,28.533926,64.0,138
39,25676,GSM downlink,0.9997273718647764,0.9999610531235394,True,950.4426701813936,9.446883149445057,25.06407294049859,140.6344480663538,0.2460182595277436,19.509617,2.0,88
0,25649,GSM downlink,0.9194120628484541,0.9783617295021249,True,929.81065300107,5.6708520501852036,25.483599841594696,79.13389983773232,0.0,11.7549515,57.0,103
31,18785,GSM downlink,0.9997338301836571,1.0,True,950.4479094594717,9.431178867816925,25.024243026971817,106.84547637403011,0.25626902034139953,21.373648,2.0,89
2,17358,GSM downlink,0.8995852056688559,0.9520106002995736,True,929.8266530483961,5.907199934124947,46.67564418911934,79.13389983773232,0.0,8.792489,44.0,99
9,13103,GSM downlink,1.0,1.0,True,951.6382029652596,8.163590863347054,8.400003959238575,9.316409021615982,0.1127583689502158,34.996365,3.0,46
26,13083,aircraft transponders / DME,0.8533975387907973,0.9839486356340289,True,1002.2545607537031,32.62253874540329,72.00261257588863,191.70677930116653,0.05125380406827991,8.6758795,49.0,142
29,12695,GSM downlink,0.9987396612839701,0.9998424576604963,True,950.4184142053127,9.443357080221176,25.083093066513584,155.03514915704727,0.10250760813655982,17.540684,2.0,93
10,12472,GSM downlink,1.0,1.0,True,951.6382077485323,8.172264531254768,8.437975332140923,9.456102907657623,0.10250760813655982,30.458866,4.0,46
11,12165,GSM downlink,0.9999177969584875,1.0,True,951.6451355218887,8.187881916761398,8.472813183069206,82.09432154893875,0.08200608650924786,25.298534,3.0,57
28,11786,GSM downlink,0.9990666892923807,0.9995757678601731,True,950.4097333624959,24.888970479369164,25.095271039754152,168.3008322417736,0.10250760813655982,16.4106485,2.0,91
