f_lo_mhz,f_hi_mhz,label,n_beams,n_obs,n_hits
543.99995,544.00005,"empirical: 64 beams, 25 obs",64,25,1600
544.04495,544.04505,"empirical: 64 beams, 3 obs",64,3,112
544.07965,544.07975,"empirical: 64 beams, 3 obs",64,3,129
544.08015,544.08025,"empirical: 64 beams, 4 obs",64,4,250
544.08025,544.08035,"empirical: 64 beams, 3 obs",64,3,158
544.08095,544.08105,"empirical: 64 beams, 3 obs",64,3,161
548.00565,548.00575,"empirical: 64 beams, 5 obs",64,5,265
548.00575,548.00585,"empirical: 64 beams, 3 obs",64,3,136
548.00605,548.00615,"empirical: 64 beams, 3 obs",64,3,76
548.03335,548.03345,"empirical: 64 beams, 3 obs",64,3,180
548.03355,548.03365,"empirical: 64 beams, 6 obs",64,6,300
548.03365,548.03375,"empirical: 64 beams, 3 obs",64,3,192
548.03375,548.03385,"empirical: 64 beams, 5 obs",64,5,211
549.99585,549.99595,"empirical: 64 beams, 3 obs",64,3,192
549.99615,549.99625,"empirical: 64 beams, 3 obs",64,3,192
551.94745,551.94755,"empirical: 64 beams, 4 obs",64,4,256
551.94765,551.94775,"empirical: 64 beams, 7 obs",64,7,448
551.94775,551.94785,"empirical: 64 beams, 8 obs",64,8,512
551.94785,551.94795,"empirical: 64 beams, 5 obs",64,5,320
551.96545,551.96555,"empirical: 64 beams, 11 obs",64,11,704
551.96555,551.96565,"empirical: 64 beams, 4 obs",64,4,256
551.96565,551.96575,"empirical: 64 beams, 4 obs",64,4,256
551.96575,551.96585,"empirical: 64 beams, 4 obs",64,4,256
551.97235,551.97245,"empirical: 64 beams, 4 obs",64,4,256
551.97285,551.97295,"empirical: 64 beams, 3 obs",64,3,192
551.97315,551.97325,"empirical: 64 beams, 3 obs",64,3,192
551.97735,551.97745,"empirical: 64 beams, 4 obs",64,4,205
551.97895,551.97905,"empirical: 64 beams, 3 obs",64,3,192
551.98105,551.98115,"empirical: 64 beams, 4 obs",64,4,202
551.98115,551.98125,"empirical: 64 beams, 4 obs",64,4,256
551.98635,551.98645,"empirical: 64 beams, 3 obs",64,3,192
551.98645,551.98655,"empirical: 64 beams, 3 obs",64,3,192
551.98665,551.98675,"empirical: 64 beams, 3 obs",64,3,181
551.98675,551.98685,"empirical: 64 beams, 3 obs",64,3,192
551.98785,551.98795,"empirical: 64 beams, 4 obs",64,4,203
551.98955,551.98965,"empirical: 64 beams, 3 obs",64,3,192
551.98985,551.98995,"empirical: 64 beams, 3 obs",64,3,135
551.99235,551.99245,"empirical: 64 beams, 4 obs",64,4,200
551.99355,551.99365,"empirical: 64 beams, 3 obs",64,3,192
551.99365,551.99375,"empirical: 64 beams, 3 obs",64,3,192
551.99375,551.99385,"empirical: 64 beams, 4 obs",64,4,248
551.99395,551.99405,"empirical: 64 beams, 3 obs",64,3,192
551.99415,551.99425,"empirical: 64 beams, 5 obs",64,5,320
551.99935,551.99945,"empirical: 64 beams, 5 obs",64,5,319
551.99985,551.99995,"empirical: 64 beams, 3 obs",64,3,184
552.00025,552.00035,"empirical: 64 beams, 3 obs",64,3,103
558.39795,558.39805,"empirical: 62 beams, 4 obs",62,4,126
558.39835,558.39845,"empirical: 39 beams, 3 obs",39,3,41
558.39845,558.39855,"empirical: 64 beams, 5 obs",64,5,272
558.39855,558.39865,"empirical: 64 beams, 5 obs",64,5,205
558.39865,558.39875,"empirical: 64 beams, 6 obs",64,6,248
558.39875,558.39885,"empirical: 64 beams, 4 obs",64,4,180
558.39885,558.39895,"empirical: 64 beams, 8 obs",64,8,422
558.39905,558.39915,"empirical: 64 beams, 7 obs",64,7,376
558.39945,558.39955,"empirical: 64 beams, 6 obs",64,6,364
558.39965,558.39975,"empirical: 64 beams, 3 obs",64,3,188
559.25035,559.25045,"empirical: 64 beams, 39 obs",64,39,1939
560.03895,560.03905,"empirical: 44 beams, 4 obs",44,4,61
563.94645,563.94655,"empirical: 64 beams, 3 obs",64,3,192
563.94655,563.94665,"empirical: 64 beams, 7 obs",64,7,363
563.94665,563.94675,"empirical: 64 beams, 9 obs",64,9,507
563.96465,563.96475,"empirical: 64 beams, 9 obs",64,9,531
563.96475,563.96485,"empirical: 64 beams, 3 obs",64,3,82
563.96485,563.96495,"empirical: 64 beams, 5 obs",64,5,292
563.96495,563.96505,"empirical: 64 beams, 3 obs",64,3,192
563.96505,563.96515,"empirical: 64 beams, 4 obs",64,4,256
563.97175,563.97185,"empirical: 64 beams, 3 obs",64,3,149
563.97255,563.97265,"empirical: 64 beams, 3 obs",64,3,135
563.97825,563.97835,"empirical: 64 beams, 6 obs",64,6,368
563.97855,563.97865,"empirical: 64 beams, 4 obs",64,4,256
563.97865,563.97875,"empirical: 64 beams, 3 obs",64,3,152
563.98065,563.98075,"empirical: 64 beams, 4 obs",64,4,145
563.98085,563.98095,"empirical: 64 beams, 3 obs",64,3,130
563.98095,563.98105,"empirical: 64 beams, 3 obs",64,3,190
563.99355,563.99365,"empirical: 64 beams, 3 obs",64,3,115
563.99965,563.99975,"empirical: 64 beams, 4 obs",64,4,256
563.99995,564.00005,"empirical: 64 beams, 3 obs",64,3,110
564.00005,564.00015,"empirical: 64 beams, 3 obs",64,3,118
564.00035,564.00045,"empirical: 64 beams, 3 obs",64,3,191
564.04005,564.04015,"empirical: 64 beams, 3 obs",64,3,126
572.71485,572.71495,"empirical: 64 beams, 4 obs",64,4,196
572.71575,572.71585,"empirical: 64 beams, 6 obs",64,6,330
572.71585,572.71595,"empirical: 64 beams, 4 obs",64,4,199
572.71595,572.71605,"empirical: 64 beams, 3 obs",64,3,174
572.71605,572.71615,"empirical: 64 beams, 5 obs",64,5,264
572.71635,572.71645,"empirical: 64 beams, 4 obs",64,4,186
572.71645,572.71655,"empirical: 64 beams, 4 obs",64,4,146
572.71655,572.71665,"empirical: 64 beams, 3 obs",64,3,69
