file,row,id,obsid,sourceName,beam,frequency,driftRate,snr,n_beams,beam_frac,weak_label,rfi_score,verdict
lband_short,5497,243365,MeerKAT:array_1:20250712T080758Z,ex_QSO_B0023-263,1,867.7633177042007,0.2460182595277436,10.494255,2,0.03125,0,4.8067343536679876e-05,shortlist
lband_short,5496,243361,MeerKAT:array_1:20250712T080758Z,J0025-2602,0,867.7633177042007,0.2460182595277436,10.490249,2,0.03125,0,4.8067343536679876e-05,shortlist
lband_short,4515,241143,MeerKAT:array_1:20250712T065251Z,Gaia_2323480588768172800,31,867.7644640952349,0.1845136946458077,14.211741,1,0.015625,0,0.00010704438417353688,shortlist
lband_short,5536,243464,MeerKAT:array_1:20250712T080758Z,Gaia_2323478900845422208,16,867.7633161097765,-0.19476445545946366,10.406801,4,0.0625,-1,0.00011365792882974681,shortlist
uhf_long,117681,34830559,MeerKAT:array_1:20250715T135202Z,Gaia_6016066180205058176,59,648.5687381625175,0.0162973690979896,40.93689,1,0.015625,0,0.0001223273868085846,shortlist
lband_short,5578,243632,MeerKAT:array_1:20250712T080758Z,Gaia_2323541680382961536,47,867.8982075899839,-0.1742629338321517,11.489588,1,0.015625,0,0.00014582400844120557,shortlist
uhf_long,117654,34830504,MeerKAT:array_1:20250715T135202Z,ex_CRTS_J153537.6-331607,4,648.5687381625175,0.0651894763919584,28.812935,1,0.015625,0,0.00016954795497756906,shortlist
uhf_long,116786,34828563,MeerKAT:array_1:20250715T124827Z,ex_LBQS_1313-0138,11,648.5687087774277,-0.0631523052547097,47.438465,2,0.03125,0,0.00020653531476674732,shortlist
lband_short,5523,243432,MeerKAT:array_1:20250712T080758Z,Gaia_2323475950203470848,11,867.8789421617985,-0.38952891091892733,11.885397,1,0.015625,0,0.0002554367984106483,shortlist
lband_short,4507,241001,MeerKAT:array_1:20250712T065251Z,ex_2MASX_J00253041-2600396,2,867.7644625008106,0.27677054196871154,15.570601,1,0.015625,0,0.0002879337952569382,shortlist
lband_short,5533,243457,MeerKAT:array_1:20250712T080758Z,Gaia_2323496325528339456,15,867.763312920928,-0.1742629338321517,10.7108555,4,0.0625,-1,0.00028838250603607107,shortlist
uhf_long,80195,28005702,MeerKAT:array_1:20250715T135202Z,ex_ASASSN-V_J153642.66-332458.7,36,611.7051621675491,-0.0264832247842331,13.728823,2,0.03125,0,0.0003006454235292394,shortlist
lband_short,5583,243646,MeerKAT:array_1:20250712T080758Z,Gaia_2323484123525547136,50,867.878951728344,-0.39977967173258333,12.31388,2,0.03125,0,0.0003077500628905683,shortlist
uhf_long,71262,11382344,MeerKAT:array_1:20250715T124827Z,ex_[VV2006]_J131618.7-022454,13,599.4172649979591,-0.0733381609409532,42.94135,2,0.03125,0,0.0003191035554580965,shortlist
lband_long,278238,35876180,MeerKAT:array_1:20240319T020710Z,Gaia_2543034678375189632,9,1626.0765075832605,0.16645283035508046,43.85093,1,0.015625,0,0.0003680024604622134,shortlist
lband_short,5545,243498,MeerKAT:array_1:20250712T080758Z,Gaia_2323541817821914880,22,867.7633177042007,-0.21526597708677564,18.076515,3,0.046875,-1,0.000372338847020757,shortlist
uhf_long,71283,11382392,MeerKAT:array_1:20250715T124827Z,ex_[VV2006]_J131905.8-015208,37,599.4172649979591,-0.0733381609409532,43.980972,2,0.03125,0,0.00038243259047094497,shortlist
uhf_long,134117,35418874,MeerKAT:array_1:20250715T135202Z,Gaia_6206674457978041088,54,677.9615107178688,0.05092927843121751,12.031115,1,0.015625,0,0.0003996805982581771,shortlist
lband_short,5577,243628,MeerKAT:array_1:20250712T080758Z,Gaia_2323541680382961536,47,867.763319298625,-0.2870213027823675,28.604263,1,0.015625,0,0.0004095808498358182,shortlist
uhf_long,242224,35418755,MeerKAT:array_1:20250715T135202Z,ex_CRTS_J153330.1-324437,8,677.9615198373795,-0.0040743422744974,11.294472,1,0.015625,0,0.000429990556667553,shortlist
uhf_long,105522,33877540,MeerKAT:array_1:20250715T135202Z,ex_ASASSN-V_J153339.10-330721.1,27,636.2808957099915,-0.059077962980212305,15.0891905,1,0.015625,0,0.00043837454315696185,shortlist
uhf_long,134105,35418862,MeerKAT:array_1:20250715T135202Z,ex_2MASX_J15360155-3334208,50,677.9615147709846,-0.006111513411746101,11.452079,2,0.03125,0,0.0004646373308728907,shortlist
uhf_long,134038,35418787,MeerKAT:array_1:20250715T135202Z,ex_ASASSN-V_J153641.93-331910.4,20,677.9615188241005,-0.0162973690979896,10.982489,2,0.03125,0,0.0004678100757568558,shortlist
lband_short,5539,243475,MeerKAT:array_1:20250712T080758Z,Gaia_2323521236338609792,18,867.878945350647,-0.3485258676643034,10.121596,4,0.0625,-1,0.0004702342943257702,shortlist
uhf_long,80153,28005632,MeerKAT:array_1:20250715T135202Z,ex_4FGL_J1534.3-3312,1,611.7051621675491,-0.0264832247842331,22.762962,2,0.03125,0,0.00048243512903638924,shortlist
uhf_long,80187,28005690,MeerKAT:array_1:20250715T135202Z,ex_ASASSN-V_J153431.87-331118.1,30,611.7051631808281,-0.030557567058730504,21.703276,1,0.015625,0,0.0005193984699247956,shortlist
lband_long,278240,35876245,MeerKAT:array_1:20240319T020710Z,Gaia_2530963312012456192,20,1626.0765139609575,-0.035308176135926156,31.96875,1,0.015625,0,0.0005262388282959938,shortlist
lband_short,5530,243449,MeerKAT:array_1:20250712T080758Z,Gaia_2323477530751457920,14,867.7633177042007,-0.21526597708677564,21.81579,3,0.046875,-1,0.000533095846669483,shortlist
lband_short,5541,243483,MeerKAT:array_1:20250712T080758Z,Gaia_2323475263008703872,19,867.8789421617985,-0.31777358522333543,12.486363,2,0.03125,0,0.0005521622226389183,shortlist
uhf_long,8982,278746,MeerKAT:array_1:20250715T124827Z,ex_[VV2010c]_J131954.3-015649,48,550.2658070325851,0.07741250321545061,20.714031,1,0.015625,0,0.0005547141998108429,shortlist
lband_short,5569,243597,MeerKAT:array_1:20250712T080758Z,Gaia_2323442827415662336,40,867.8885549455881,-0.08200608650924786,10.52817,1,0.015625,0,0.000572695766687226,shortlist
lband_short,5502,243382,MeerKAT:array_1:20250712T080758Z,ex_2dFGRS_TGS138Z236,4,867.7633113265038,-0.2357674987140876,19.332792,1,0.015625,0,0.0005864957567591735,shortlist
uhf_long,134019,35418768,MeerKAT:array_1:20250715T135202Z,ex_Gaia_DR3_6014448656864285696,13,677.9615107178688,0.0468549361567201,11.60627,2,0.03125,0,0.0005904773404612346,shortlist
lband_short,5516,243416,MeerKAT:array_1:20250712T080758Z,Gaia_2323476564383214720,9,867.8789501339197,-0.38952891091892733,10.303086,3,0.046875,-1,0.0006185241790055686,shortlist
uhf_long,72332,11384220,MeerKAT:array_1:20250715T135202Z,ex_ASASSN-V_J153339.64-330209.6,28,599.4173014760017,-0.048892107293968805,11.657709,1,0.015625,0,0.0006204920069232183,shortlist
uhf_long,125268,35005378,MeerKAT:array_1:20250715T124827Z,ex_[VV2006]_J131735.5-021504,26,660.8565694689751,-0.055003620705714906,37.935207,2,0.03125,0,0.0006419527036767809,shortlist
uhf_long,58209,4543187,MeerKAT:array_1:20250715T124827Z,ex_[VV2006]_J131904.7-021321,36,587.1293749213219,0.0835240166271967,45.92912,1,0.015625,0,0.0006589427776231955,shortlist
uhf_long,79830,28005122,MeerKAT:array_1:20250715T124827Z,ex_[VV2006]_J131904.7-021321,36,611.7051226496696,-0.05092927843121751,22.012701,1,0.015625,0,0.0006603467565839778,shortlist
uhf_long,105074,33876755,MeerKAT:array_1:20250715T124827Z,ex_[VV2006]_J131618.7-022454,13,636.2808460593224,-0.05092927843121751,14.661668,2,0.03125,0,0.0006607292845416285,shortlist
uhf_long,31872,986413,MeerKAT:array_1:20250715T124827Z,ex_ASASSN-V_J131645.18-014824.8,49,562.5536788702011,-0.0651894763919584,12.084739,1,0.015625,0,0.0006768829237233589,shortlist
uhf_long,134070,35418821,MeerKAT:array_1:20250715T135202Z,ex_ASASSN-V_J153532.40-334016.8,33,677.961504638195,0.07741250321545061,12.410714,1,0.015625,0,0.000690115968990734,shortlist
uhf_long,72333,11384222,MeerKAT:array_1:20250715T135202Z,ex_ASASSN-V_J153354.39-333109.3,29,599.417295396328,-0.0162973690979896,20.679102,1,0.015625,0,0.0007032798323239649,shortlist
lband_short,5551,243516,MeerKAT:array_1:20250712T080758Z,Gaia_2323484368339403648,25,867.8789405673742,-0.3075228244096795,13.080204,2,0.03125,0,0.0007120820712104149,shortlist
uhf_long,72327,11384188,MeerKAT:array_1:20250715T135202Z,ex_Gaia_DR2_6014515417835108352,12,599.4173075556755,-0.055003620705714906,15.831636,1,0.015625,0,0.000744248069901946,shortlist
